SYMBOL	ENTREZID
LSM6	11157
SCAF4	57466
GP1BA	2811
RUFY2	55680
SAP25	100316904
NVL	4931
IPO9-AS1	100873949
SPDYE16	102723555
LDAH	60526
DNAJC6	9829
CAND1	55832
ATP1A3	478
LINC02320	105370676
MAP7D2	256714
CFAP73	387885
ADGRL1	22859
TRIM68	55128
LINC02090	105371562
PLGLB1	5343
FGFR2	2263
ZNF175	7728
SMARCD2	6603
GARNL3	84253
ZNF607	84775
TRAPPC3L	100128327
SLFNL1	200172
OTC	5009
TRAJ17	28738
TAS2R5	54429
FAM66E	100132103
OR52I1	390037
CA1	759
MPL	4352
MTUS2	23281
CYP4B1	1580
CFAP61	26074
KLHDC9	126823
MEIG1	644890
MAP3K5	4217
ZFP28	140612
VPS33B-DT	101926911
GUCA1B	2979
ERMN	57471
GDPGP1	390637
ARHGAP30	257106
NME1-NME2	654364
EAF1-AS1	100873956
KRTAP5-AS1	338651
PSTK	118672
DIS3L	115752
TERT	7015
MYLK4	340156
TPH1	7166
ARMH2	101928603
CLEC1B	51266
NKD1	85407
UBLCP1	134510
ZFY-AS1	107987337
CD81-AS1	101927682
TMEM232	642987
BIN3	55909
PRICKLE3	4007
RMI2	116028
MROH8	140699
PPP1R14D	54866
LINC02357	105374540
CRYGN	155051
KLK14	43847
SULT1C3	442038
CRB1	23418
C17orf50	146853
TMOD4	29765
XKR7	343702
THEM5	284486
CALB1	793
RBFADN	100506070
LY75-CD302	100526664
TAS2R46	259292
SLC5A1	6523
SPDEF	25803
HOTTIP	100316868
PCDHGA5	56110
TRAJ10	28745
ANKRD20A8P	729171
CEMP1	752014
ZSWIM8-AS1	100507331
TSSK6	83983
SPESP1	246777
STOX1	219736
LY6G5B	58496
ZNF675	171392
MMACHC	25974
NUP160	23279
ADGRF3	165082
GALNT9	50614
CPB2-AS1	100509894
GCNT3	9245
MAP6D1	79929
KCNH3	23416
CCR3	1232
F12	2161
PWAR6	100506965
CEACAM5	1048
PGAP3	93210
INTS6L	203522
INTS9	55756
GDF11	10220
BABAM2	9577
LRRC37A	9884
PIWIL2	55124
RAD52	5893
RGS11	8786
IL24	11009
SERPINB5	5268
BPI	671
CATSPERB	79820
DNAH10OS	642797
RGPD4	285190
TRBV6-8	28599
ANKRD13B	124930
LINC02453	643770
SNRPE	6635
ZRANB3	84083
C19orf81	342918
KLHL29	114818
ARHGAP5-AS1	84837
MBD5	55777
LINC00334	114042
LINC00880	339894
TMEM72-AS1	220980
HES2	54626
LINC01675	105371590
LINC02513	105374410
POPDC3	64208
ZNF157	7712
CDX2	1045
CDH20	28316
TRPM3	80036
DLX4	1748
GDF9	2661
KLHL31	401265
PPP1R36	145376
PLA2G10	8399
FSIP2	401024
USP6	9098
LINC02033	105377031
LRRC7	57554
MUC2	4583
MIR200CHG	105369635
KLHL41	10324
FGF14	2259
EYS	346007
SAPCD1-AS1	104413891
LINC01422	101929539
C2orf42	54980
FBXO9	26268
C7orf25	79020
TAB3-AS2	100873926
XKRX	402415
DRC3	83450
SPDYE2	441273
IL17RE	132014
BAIAP2L2	80115
PEX11A	8800
MTAP	4507
ABLIM2	84448
ZNF284	342909
MPZL3	196264
CA9	768
TMEM80	283232
STX16-NPEPL1	100534593
LINC01801	400685
ZNF442	79973
SERHL2	253190
CDAN1	146059
RHCE	6006
C2orf81	388963
FAM117B	150864
LINC00989	100506035
ZNF451-AS1	101927211
ABHD1	84696
RPAP1	26015
AMOT	154796
ZNF197-AS1	100874094
AOC2	314
HCG14	414760
IL20RA	53832
RIPK4	54101
TMEM139	135932
LINC01106	151009
MKRN3	7681
SLC26A7	115111
OR2A7	401427
STK31	56164
PSMD6-AS1	109729140
MUC1	4582
SNX32	254122
ULK4	54986
HSF4	3299
RAB5B	5869
COQ8B	79934
AGR3	155465
NEK5	341676
KLHL35	283212
GTF3C2-AS1	100505624
ANKRD23	200539
ZNF852	285346
ACAD8	27034
FTO	79068
NUTM2A	728118
HNRNPA1L2	144983
BAIAP3	8938
NMNAT3	349565
TBCB	1155
TTC36	143941
ENTHD1	150350
CMTM5	116173
ACSM1	116285
TVP23C-CDRT4	100533496
GHRLOS	100126793
GEMIN7-AS1	105372419
AKR1B10	57016
ABCC11	85320
PCYOX1	51449
SART1	9092
HLCS	3141
ARHGEF38	54848
RAB40AL	282808
BTBD16	118663
LIFR-AS1	100506495
FABP6	2172
LINC01151	104266958
PACRG	135138
TP53TG3D	729264
FNDC11	79025
MATN4	8785
C6orf47-AS1	106480731
GNAS-AS1	149775
TRBJ2-4	28625
AJUBA	84962
ULBP3	79465
MCPH1-AS1	100507530
SLC18B1	116843
WDR25	79446
ZC3H10	84872
TIAL1	7073
KLHL9	55958
ZNF674-AS1	401588
NKAP	79576
POLR3K	51728
LINC01473	101927217
VIL1	7429
MIEF2	125170
SAP30L-AS1	386627
PTOV1-AS2	101928378
HSD17B1	3292
LINC00239	145200
LINC02300	105370422
ACSM2B	348158
CCDC196	440184
TEKT5	146279
KRT4	3851
LINC02308	100506700
ST8SIA2	8128
LINC00517	400208
IAPP	3375
LRRIQ1	84125
FOXC2-AS1	103752587
LINC00640	283553
DDX25	29118
LINC01479	101927922
BHMT	635
HOTAIR	100124700
GPRIN2	9721
FAM222A-AS1	84983
SLC51B	123264
ACTC1	70
C1QTNF9	338872
ONECUT1	3175
TEX26-AS1	100507064
ARHGEF7-AS2	100874238
LINC00524	338002
PTH2	113091
SCGN	10590
SLC28A1	9154
LINC01583	101929690
CYP1A1	1543
KRT78	196374
FAM230A	653203
KLK2	3817
C19orf67	646457
LINC02389	400046
SLC25A34-AS1	110806303
FAM43B	163933
LINC02147	102467224
PCDHGA8	9708
GRIN2B	2904
NPSR1	387129
LINC02042	101929694
HOXA13	3209
SOWAHA	134548
PCDHB7	56129
PAPOLB	56903
LINC00242	401288
IQCJ-SCHIP1-AS1	100874433
HTR1F	3355
IGFBP1	3484
KCNA1	3736
LVRN	206338
SCN11A	11280
SNRK-AS1	100873954
BSN-DT	100132677
MESTIT1	317751
MIR202HG	101927671
GNAT1	2779
LINC00992	728342
LMO3	55885
LRRD1	401387
GRM3	2913
KIF25-AS1	100505879
PCDHB3	56132
LINC02150	101929505
PURPL	643401
LINC02198	101928885
ZNF474	133923
PCDHGA9	56107
HCG9	10255
SPINK9	643394
NMUR2	56923
ADRA2C	152
LINC02054	105374250
SLC25A48	153328
VIP	7432
LINC02365	105377586
LINC01096	285548
LINC01088	100505875
PDE6A	5145
LINC01546	100129464
DCDC2C	728597
CCDC190	339512
CATSPERZ	25858
CACNA1E	777
APOBEC4	403314
NAV2-AS3	100874013
LGI1	9211
CFHR3	10878
RD3	343035
ACSM6	142827
LDB3	11155
RGR	5995
DCST1-AS1	100505666
CYP17A1	1586
GRHL3	57822
TNNI3K	51086
SPRR3	6707
LINC00619	414260
LINC01779	107985190
VSIG10L2	338667
PAPPA-AS1	493913
C5orf58	133874
GK-AS1	100873902
HSD17B3	3293
LINC01191	440900
CYP27C1	339761
LINC01960	100128905
DIRC1	116093
CT83	203413
AGTR2	186
LINC01186	101927574
ENDOU	8909
COL2A1	1280
ELAVL2	1993
BARX1-DT	101928040
LINC01936	285043
CYP17A1-AS1	102724307
LINC01119	100134259
MEIS1-AS2	100873998
FAM9C	171484
PRDM7	11105
LINC02091	100506371
LIX1	167410
LINC02142	105374644
FRG1-DT	728339
LINC02172	105377443
PPEF2	5470
LINC01972	105374293
SH3GL2	6456
OR5H14	403273
DENND6A-AS1	106144528
SATL1	340562
MAGEB10	139422
CXorf58	254158
FAM9B	171483
LINC00102	100359394
ASB15	142685
ERVW-1	30816
TMEM229A	730130
RNF148	378925
PTPRZ1	5803
EHMT2-AS1	107986588
HCG15	414761
IZUMO2	126123
PCA3	50652
ZFX-AS1	100873922
NPY	4852
TSPEAR-AS1	54082
DNAJB7	150353
ZSCAN4	201516
MUSK	4593
LINC01571	101927364
EGFR-AS1	100507500
CYP4F8	11283
PRTN3	5657
DEFB124	245937
ISM1-AS1	100505536
GJC3	349149
PRSS38	339501
LINC01239	441389
OR10K1	391109
TAC1	6863
LINC02289	102724190
LINC00330	144817
C10orf53	282966
PRICKLE2-AS3	100874243
MAMDC2-AS1	100507244
GDF6	392255
NR0B1	190
PADI1	29943
MTRNR2L10	100463488
CD164L2	388611
ADGRG2	10149
LINC02087	101928567
AIPL1	23746
PLA2G2F	64600
GJB5	2709
TEX35	84066
LINC02257	105372950
LINC01655	101929771
SYT14	255928
TNNI1	7135
PKP1	5317
LINC01031	101929184
RXFP4	339403
SETSIP	646817
MSH4	4438
DMRTA2	63950
LINC01389	102724077
DMBX1	127343
GUCA2A	2980
VEGFD	2277
STAU2-AS1	100128126
NKAIN3	286183
RDH10-AS1	101926926
TMEM213	155006
ALKBH3-AS1	100507300
NECAB1	64168
NUTM2G	441457
CNGB3	54714
LINC02367	101930452
OR2A25	392138
FAM167A-AS1	83656
ASB11	140456
GOLGA6L7	728310
HEATR4	399671
TSSK4	283629
XG	7499
MNX1-AS2	105375606
SHH	6469
VWC2	375567
LINC02023	101928405
SCGB2A1	4246
ITIH1	3697
CDHR4	389118
LINC02585	102724368
CPEB2-DT	441009
OVOL1-AS1	101927828
CNGA3	1261
FUT9	10690
GPR78	27201
CAMK2A	815
GLYATL2	219970
PCDHB6	56130
TRPC7-AS1	100874024
CCDC192	728586
VCAN-AS1	105379054
ART3	419
GDNF-AS1	100861519
TRIML2	205860
TENM3	55714
KIAA0408	9729
MAB21L2	10586
OR2M4	26245
HHIPL2	79802
KIF6	221458
CST2	1470
CST4	1472
GALR1	2587
SCN2B	6327
MGAT5B	146664
GFAP	2670
KRT27	342574
LINC01563	101060544
GUCA1A	2978
MAB21L3	126868
LINC01786	101928895
ZNF295-AS1	150142
TCP10L	140290
PRR5-ARHGAP8	553158
CCDC188	388849
ZNF350-AS1	101669766
GSTA3	2940
TTC9B	148014
MAG	4099
ZNF676	163223
SLC14A2-AS1	101927980
CHRM5	1133
FOXN3-AS2	29018
LINC00460	728192
SUCLA2-AS1	101929410
KCNQ1-AS1	338653
INHBE	83729
GSG1	83445
FAM53B-AS1	101927944
ANKRD2	26287
MYPN	84665
LINC01902	105372079
RNF183	138065
POU6F2-AS1	100861520
LCMT1-AS2	100506655
LRRC18	474354
ZFHX4-AS1	100192378
FAM87A	157693
SMIM10L2B-AS1	100287728
FGF10-AS1	101927075
TMEM74	157753
LINC02489	101928919
CLEC2L	154790
LMOD2	442721
ABCB5	340273
SLC22A2	6582
MAL2-AS1	105375726
ABCC8	6833
IDI2	91734
LDHC	3948
CD44-AS1	109729172
C11orf91	100131378
LINC02547	105376554
MORN5	254956
TPD52L3	89882
GDAP1L1	78997
FER1L5	90342
TEKT4	150483
LINC01118	388948
ABCG8	64241
CHST8	64377
POTEJ	653781
MYT1L	23040
OR2L2	26246
LINC01641	107985463
LMX1A	4009
IGFN1	91156
POTEI	653269
LINC00862	554279
DAND5	199699
UGT2A3	79799
UGT2B17	7367
ELAVL3	1995
LINC01840	100874079
LINC02067	101243545
SLC26A9	115019
AMIGO3	386724
BRINP3	339479
NWD1	284434
PAPPA2	60676
ASCL5	647219
GRID2	2895
CHIA	27159
FAM131C	348487
ISX	91464
PCDH11Y	83259
LINC02560	110806301
C19orf18	147685
ZNRF3-AS1	100874123
C22orf31	25770
CEACAM18	729767
KLK12	43849
KLK3	354
CRX	1406
KLC3	147700
B3GALT5-AS1	114041
CYP4A22-AS1	105378701
NR1I3	9970
RIIAD1	284485
CELF3	11189
SLC6A17	388662
FNDC7	163479
SELENOV	348303
TRPM2-AS	101928607
CLDN19	149461
CTRC	11330
SLC17A7	57030
AFM	173
LINC02267	105377338
DLGAP1-AS5	284215
TSGA13	114960
GLOD5	392465
INE2	8551
PRKX-AS1	100873944
ARSD-AS1	100506356
PAK5	57144
OVOL2	58495
KIZ-AS1	101929591
NKX2-2	4821
CPA1	1357
XDH	7498
EFCAB10	100130771
CALN1	83698
OPRM1	4988
IGFBPL1	347252
FAM221B	392307
FOCAD-AS1	101929548
SLC30A8	169026
CSMD3	114788
LINC01030	101937451
KCNB2	9312
PCDH11X	27328
CNNM3-DT	100506036
XKR4	114786
SNTG1	54212
LGI3	203190
AQP4	361
ARHGAP40	343578
KCNK2	3776
PCDHB1	29930
MIR7-3HG	284424
ITPKB-AS1	100873994
LINC01331	104310351
ATCAY	85300
LINC02242	105379006
LINC02109	101929660
ADAM29	11086
TRIM60	166655
ESRRG	2104
ADH7	131
CELF5	60680
RFX6	222546
RHAG	6005
CLPS	1208
CLPSL1	340204
ARMC12	221481
MTRNR2L3	100462983
APCDD1L	164284
STMND1	401236
CPLX2	10814
NSG2	51617
FBLL1	345630
LINC01354	100506795
IFNL2	282616
HOXC11	3227
HOXC12	3228
KRT6A	3853
ATOH1	474
ADH6	130
LINC02266	105377466
SMCO2	341346
PRB3	5544
CLRN3	119467
PCSK1	5122
CFAP58	159686
TLX1	3195
FAM25A	643161
DRD1	1812
FAM25G	100133093
BTNL3	10917
TRIM10	10107
ZBTB8B	728116
NEBL-AS1	100128511
ADGRG7	84873
STXBP5L	9515
LINC02004	105374119
ZIC5	85416
SCEL	8796
LINC00355	144766
ALX1	8092
PDX1	3651
HTR3E	285242
LHX5	64211
HGFAC	3083
SVOP	55530
LINC02475	100506827
LINC02404	105369900
PTF1A	256297
IFNL3	282617
KCNK9	51305
GNGT1	2792
MTRNR2L6	100463482
IFNE	338376
IFNB1	3456
INSL4	3641
RHPN1-AS1	78998
LY6D	8581
CASC11	100270680
SLC6A14	11254
DCAF12L1	139170
LINC01607	101927067
IGSF1	3547
VGLL1	51442
C8orf34	116328
ALKAL1	389658
CLPSL2	389383
TSPO2	222642
TP53AIP1	63970
TINAG	27283
TREH	11181
C11orf52	91894
B3GNT6	192134
LINC02535	101928820
AGMO	392636
SLC5A12	159963
RAET1L	154064
IYD	389434
MAS1	4142
DGKB	1607
KLHL30	377007
CSTL1	128817
LINC01752	101929395
TRIM63	84676
LINC01433	728228
GJB4	127534
GJB3	2707
BPIFA2	140683
LINC01979	101928766
LINC01993	100996291
OTOP3	347741
CELA3A	10136
HOXB13	10481
LINC01767	105378744
KRT16	3868
IL22RA1	58985
ACER1	125981
ANGPTL3	27329
TMEM61	199964
TTC39A-AS1	102724097
BACH1-AS1	106478962
GRIK1	2897
ZNF341-AS1	101929746
IGSF5	150084
GUCA2B	2981
WFDC10B	280664
CELA3B	23436
FOXD3-AS1	100996301
KCNJ3	3760
REG3G	130120
REG1B	5968
PDILT	204474
CFC1	55997
LINC00930	100144604
LINC02478	100505984
NEUROD1	4760
STRC	161497
PLA2G4F	255189
FSIP2-AS1	107985781
ABCG5	64240
KCNG3	170850
CRCT1	54544
LCE1E	353135
SPRR1B	6699
TDRD5	163589
GPR37L1	9283
SLC22A31	146429
BLACAT1	101669762
TAT-AS1	100132529
CHST4	10164
LINC01913	388942
GABBR2	9568
LINC02533	105374895
ELMO1-AS1	100861514
LINC01277	100507489
ECT2L	345930
GABRR2	2570
DDX39B-AS1	106478957
HCG17	414778
LRRC31	79782
LINC01411	101928176
LINC02059	100505878
SPSB4	92369
A4GNT	51146
JADRR	101669763
AADACL2	344752
PTTG2	10744
C14orf180	400258
C8orf89	100130301
LINC01299	286186
LINC00887	100131551
KBTBD11-OT1	104266957
THPO	7066
KCNMB2	10242
NYX	60506
TRBVB	28555
LINC01209	101928684
OPN1SW	611
CWH43	80157
CCKAR	886
C9orf153	389766
MTRNR2L11	100463489
RGSL1	353299
INSRR	3645
ARHGDIG	398
TMPRSS7	344805
SYT6	148281
GBP7	388646
GUCA1C	9626
CELA2A	63036
LINC01672	100505887
KCNJ6	3763
EPHA6	285220
SEC14L5	9717
GRIN2A	2903
NR2E3	10002
PPP2R2C	5522
OPA1-AS1	100873941
SST	6750
SLC7A14	57709
LNCSRLR	109729161
LINC00971	440970
CTXND1	100996492
UGT1A7	54577
FSD2	123722
PLCD4	84812
SCHLAP1	101669767
MAP3K20-AS1	339751
TUBA3D	113457
ZBTB20-AS2	100506673
IGHV3OR16-9	28307
PIWIL1	9271
P2RX2	22953
SGCG	6445
CDH16	1014
LINC02433	340017
MTUS2-AS1	100874107
DCHS2	54798
FREM2	341640
UBOX5-AS1	100134015
LINC02452	105369924
LINC01926	105372147
C6	729
LINC01977	105371919
TTLL6	284076
KRT12	3859
RANBP3L	202151
CDH10	1008
CCDC60	160777
RNF222	643904
SLC13A5	284111
IRX2	153572
HTR2A	3356
PLPPR1	54886
LRFN5	145581
ODAM	54959
UGT2B15	7366
ST8SIA6-AS1	100128098
ESRRB	2103
NKX3-2	579
ELMOD1	55531
SHANK2-AS1	100874198
SLC22A9	114571
PRR33	102724536
LHX3	8022
RPEL1	729020
LINC02359	101927464
LINC02511	105377441
LMO7DN	729420
LINC01068	103724388
SLITRK5	26050
SOX21	11166
FARP1-AS1	100874080
LINC00443	100874173
LINC00571	100874188
FGF23	8074
NDST3	9348
OR6C75	390323
ETNPPL	64850
LINC00592	283404
SLC38A4	55089
LINC02449	101927905
SHISA8	440829
LINC01290	106144584
SERPINA10	51156
KIAA2012	100652824
SYT16	83851
KRT24	192666
KLHL10	317719
LINC01551	387978
GOLGA6L6	727832
OR10G3	26533
OR11G2	390439
LINC01297	115694671
MED4-AS1	100873965
AMER2	219287
LINC00327	100506697
C1QL1	10882
CLIP1-AS1	100507066
ACADL	33
LHX5-AS1	104355219
ERVE-1	85314
LINC02177	101927009
MTRNR2L4	100463285
CFAP65	255101
CRYBA2	1412
FEV	54738
CPEB1-AS1	283692
CDK5R2	8941
SRRM4	84530
LINC02551	100507431
TEX12	56158
VSTM5	387804
LINC01971	105371927
PPP1R27	116729
OR4D9	390199
LYG2	254773
MIR670HG	100507261
SAA4	6291
NLRP14	338323
OR2AG1	144125
OR2AG2	338755
OR52N5	390075
OR51M1	390059
TRPM5	29850
LINC01502	100130954
DPP10	57628
OLAH	55301
ASCL1	429
MYBPC1	4604
LINC02410	105369920
LINC02408	100507175
B4GALNT2	124872
ERICH2	285141
ART4	420
SPRN	503542
GALNT13	114805
C10orf67	256815
LINC01435	103695365
LINC01028	101928141
SFTPD-AS1	105419997
LINC01553	283025
PCAT5	102578074
RBPJL	11317
OR1I1	126370
OR7A17	26333
OR7C1	26664
CSPG5	10675
TGM4	7047
OR10H1	26539
ACVR2B-AS1	100128640
ITCH-AS1	106480737
SLC22A14	9389
LINC00311	197196
PCSK2	5126
GNRH2	2797
TGM3	7053
SCNN1G	6340
LINC00895	150185
SLC5A4	6527
SEC14L4	284904
IGLL1	3543
LRRC74B	400891
LINC01858	101929144
TMEM190	147744
KCNA7	3743
LHB	3972
PSG2	5670
LSMEM2	132228
SEMA3B-AS1	101928931
CASC16	643714
LINC-ROR	100885779
TCF4-AS2	106480339
CTRB2	440387
OR3A3	8392
OR3A2	4995
OR1A1	8383
JPH3	57338
KCNJ13	3769
MYH13	8735
MYLK3	91807
MPRIP-AS1	100874529
SLC47A2	146802
MIR133A1HG	102723167
LDLRAD4-AS1	100288122
PPP4R1-AS1	101927323
LRRC3B	116135
LINC01978	101928738
LINC02078	100652929
BTBD17	388419
LINC00691	152024
SKAP1-AS1	110806289
LINC01996	400568
STAC2	342667
RYR3	6263
OTUD6A	139562
TMEM114	283953
LINC00942	100292680
HOXC13-AS	100874366
FOXG1	2290
SFTA3	253970
TLX1NB	100038246
ERVK9-11	111188141
PAX2	5076
C19orf85	111064650
XACT	105463123
LINC01855	105372292
LINC00326	285735
VCX3B	425054
ITIH6	347365
OR10H5	284433
FARSA-AS1	106144598
SMTNL1	219537
ZNF878	729747
LIPJ	142910
ANGPTL8	55908
C6orf15	29113
GACAT3	104797537
LINC01249	727982
LINC00687	728450
CCDC185	164127
LINC00658	100507629
PROKR1	10887
LINC01889	105373597
GBX2	2637
PRAMEF18	391003
PRAMEF14	729528
WFDC12	128488
LINC01632	101929826
LINC01740	101929565
S100A7A	338324
LY6G6F-LY6G6D	110599563
PCDHB8	56128
CST8	10047
CCIN	881
KCNA4	3739
LIPM	340654
CYP26C1	340665
HORMAD2	150280
GGTLC2	91227
PNMA6F	105373377
TSPEAR	54084
OLIG2	10215
C1QL2	165257
CNTN6	27255
GRIK1-AS1	642976
LINC02268	101928509
SAMSN1-AS1	100874190
LINC00427	100507040
HPN-AS1	100128675
LINC00879	255025
CEACAM16	388551
PSG4	5672
HIPK4	147746
GPR62	118442
LINC01320	104355288
SEC62-AS1	106478967
UPK1A	11045
TKTL2	84076
FIGLA	344018
PGLYRP1	8993
OR4N2	390429
CERS3-AS1	102723320
GGTLC3	728226
SERPINA11	256394
GOLGA6L1	283767
MAGEL2	54551
EPB42	2038
LINC00922	283867
LINC00163	727699
ASB18	401036
SPINK8	646424
LINC02343	105370158
MYH4	4622
ENOX1-AS1	100874129
NALCN-AS1	100885778
DCUN1D2-AS	100874229
PERM1	84808
INSM2	84684
GABRG3	2567
SLC6A15	55117
CT62	196993
LYZL2	119180
ANKRD30A	91074
VAX1	11023
HMX3	340784
DCD	117159
NKX1-2	390010
CCL15-CCL14	348249
LRTM2	654429
MUC19	283463
FBXW12	285231
CPSF4L	642843
CPHXL	105371346
KRT35	3886
DYNAP	284254
LINC01899	102724913
CA7	766
KRT37	8688
ANKRD34C	390616
ITFG1-AS1	101927102
NTN3	4917
UMOD	7369
LINC01567	400511
LINC02169	100996338
CES5A	221223
ODF4	146852
SLC38A8	146167
NECAB2	54550
ADARB2-AS1	642394
KRTAP9-3	83900
LINC02492	100506272
DSG4	147409
LINC02241	105374676
CDH12	1010
LINC02228	105374694
HCN1	348980
ANKRD30B	374860
PCDHGA4	56111
TFAP2B	7021
LINC02518	105377957
LINC00974	147093
HMX1	3166
LINC02077	105377172
LINC01998	107986046
IQCJ	654502
CPN2	1370
ZNF732	654254
SMR3A	26952
ST8SIA5	29906
SMR3B	10879
MEPE	56955
STPG2-AS1	101410545
LINC01254	101927350
CACNG1	786
GNA14-AS1	101927422
PRRT1B	642515
PRAC1	84366
KCNK4	50801
CCDC83	220047
ABCG4	64137
EPO	2056
PIP	5304
FRMPD4	9758
FADS6	283985
IGBP1-AS1	100873991
LINC00705	338588
LINC01381	106144568
APOA5	116519
ATP6V1B1-AS1	101927750
SMYD1	150572
EN1	2019
UPP2	151531
GAD2	2572
KCNQ1DN	55539
MIR137HG	400765
LINC02386	105369717
LINC01776	729987
ALX3	257
WARS2-IT1	104472716
TGFB2-AS1	728463
LRRC71	149499
LRRC52	440699
ZNF648	127665
LINC01633	101929069
PCDHA7	56141
LINC02219	102467655
OTP	23440
LINC01950	102467213
LINC02240	101927460
RALYL	138046
PCDHA11	56138
STK32A-AS1	105378217
TLX3	30012
C5orf47	133491
LINC02212	101929412
DBET	100419743
CFAP100	348807
SRGAP3-AS2	101927416
LRRC2-AS1	83598
RNF224	643596
IQCF3	401067
GPR156	165829
LINC01179	101928151
SPATA16	83893
FAM90A26	100287045
MAFA-AS1	104326051
LINC02261	101929199
AQP6	363
MAGEB5	347541
GH1	2688
IRS4	8471
PPM1E	22843
LINC01289	286184
TCF24	100129654
PHF24	23349
CYLC2	1539
OR5M11	219487
KRTAP5-7	440050
TBC1D3I	102724862
GRM5-AS1	100873989
OCM2	4951
FAM217A	222826
LINC01527	101927988
CRP	1401
LINC01370	100505663
GHRH	2691
SERPINB11	89778
UGT1A3	54659
ST8SIA3	51046
UBE2E1-AS1	100874092
UROC1	131669
GRM5	2915
PIRT	644139
HOXB1	3211
LINC01999	388406
PCDH20	64881
LINC00652	29075
SMUG1-AS1	105369776
GPR12	2835
LINC01695	101927973
TAS1R1	80835
GPC5-AS1	100873969
C1QTNF8	390664
LINC00412	102723332
CNTNAP4	85445
GSG1L	146395
TMCO5A	145942
LINC02302	101927351
LINC00348	100885781
EDDM3A	10876
NKX2-1	7080
SACS-AS1	100506680
LIPC-AS1	101928694
RLBP1	6017
TBATA	219793
DYDC1	143241
CLCNKB	1188
SH2D4B	387694
ARMS2	387715
HMX2	3167
TEX36	387718
LINC01166	101927590
ADGRA1	84435
ADGRA1-AS1	100128127
TAS2R43	259289
LINC00518	221718
LINC01522	101927457
TMC2	117532
CASC20	101929244
ADCYAP1R1	117
LINC01523	101060004
OR7G2	390882
CGB2	114336
TMEM78	677790
LINC02128	102724940
HBZ	3050
PYDC1	260434
KRT39	390792
KRTAP2-3	730755
WFIKKN2	124857
MMP27	64066
NKAIN1	79570
LINC01518	101929397
KCNK16	83795
LINC02526	105377926
GRM4	2914
FAM237B	107986818
SIM1	6492
HYAL4	23553
LINC01574	102577424
GRIA1	2890
LINC01933	101927115
SNAP91	9892
MCHR2-AS1	728012
LINC00972	105375380
LINC01108	102216342
ACTL6B	51412
PRDM13	59336
TMEM196	256130
UFL1-AS1	100861530
TAAR1	134864
HS3ST5	222537
NR2E1	7101
SPIN4-AS1	100874033
PHKA1-AS1	101928259
LINC02584	100009613
LINC01829	644838
DCST1	149095
IFITM5	387733
FLG2	388698
RTL9	57529
NHLH2	4808
CLDN25	644672
CALML3-AS1	100132159
CRYGC	1420
DMRT1	1761
C4orf51	646603
STMN4	81551
ATP13A5	344905
MUSTN1	389125
FANCD2OS	115795
OPRK1	4986
CRYGB	1419
CYP11B2	1585
OTOR	56914
LINC02168	105371252
ROR1-AS1	101927034
RNASE10	338879
LINC01623	401242
KAAG1	353219
LINC02333	103191607
LINC01942	105377736
LINC02322	101927729
LINC02570	105375014
DEFB126	81623
LAMP5-AS1	101929329
ADAMTS20	80070
PCDHAC1	56135
FGF13-AS1	100129662
CRISP3	10321
LINC01276	103106903
RBMXL2	27288
MRGPRX3	117195
C2-AS1	102060414
ACRV1	56
FABP7	2173
SMAD1-AS1	104326058
LINC01262	101928971
POU4F2	5458
NEUROG2	63973
ASB17	127247
LENEP	55891
CXXC4-AS1	101929468
OR6N1	128372
DSCR4	10281
LINC01511	100506791
LINC02434	105377606
TAS2R1	50834
HSPB3	8988
BLACE	338436
HTR2C	3358
CDH18	1016
OR56A3	390083
BPIFB2	80341
LINC00052	145978
PDZD9	255762
NLRP2B	286430
SENP3-EIF4A1	100533955
AKAP4	8852
LINC01204	101927528
LRRC9	341883
KRTAP1-5	83895
KRTAP2-2	728279
KRTAP2-4	85294
LINC01887	102724470
NKX2-1-AS1	100506237
C7orf33	202865
SPANXN3	139067
LINC02417	101930162
GYS2	2998
FMR1NB	158521
TMEM132D-AS1	283352
NCBP2L	392517
RIPPLY1	92129
EVX1	2128
LINC01807	101928765
ZNF716	441234
HTR3D	200909
TTLL2	83887
GFY	100507003
TRPV5	56302
AKR1D1	6718
SAGE1	55511
PAX3	5077
CT45A10	102723631
MROH9	80133
SPZ1	84654
LINC01822	645949
RRH	10692
GRXCR2	643226
IL20	50604
KRTAP8-1	337879
STON1-GTF2A1L	286749
WFDC9	259240
GPRC6A	222545
LINC02583	101805491
LINC00570	100874055
MKNK1-AS1	100507423
OVAAL	148756
LINC01799	101060019
ACSBG2	81616
LINC01709	105378872
SEMG2	6407
FAM163A	148753
LINC02155	111082988
PKLR	5313
OR5AS1	219447
PGLYRP4	57115
TEX52	101929469
LCE3D	84648
ROCR	102723505
IGF2BP2-AS1	646600
LINC02525	100507194
LINC02069	101928992
LINC00581	100874531
TMEM174	134288
LINC01214	101928022
FGF12-AS3	100873988
GPR17	2840
LINC02082	100507661
ATP13A5-AS1	100874218
YIPF7	285525
LNX1-AS1	100873939
GABRB1	2560
GABRA4	2557
ZAR1	326340
SLC45A2	51151
CHRNA9	55584
LINC02108	101928600
CASR	846
LINC02027	728290
WEE2	494551
AQP12A	375318
UGT1A4	54657
ADAM21	8747
CPO	130749
REC114	283677
DLX2-DT	104326193
DLX1	1745
B3GALT1	8708
SRGAP3-AS4	101927440
LINC02443	101929584
ARSH	347527
